asset,asset_class,slot,indicator_id,indicator_type,horizon,ic_or_spread,ic_ir,n_obs,p_value,survives_fdr,low_confidence,note
HYG,credit,Volume,VL-OBV-SLOPE-5,continuous,20,-0.050803084743183714,-0.22446170556312275,4811,0.04189512922159297,False,False,
HYG,credit,Volume,VL-PVT-SLOPE-5,continuous,1,-0.01410086458641435,-0.3503533349975801,4829,0.34843845282558306,False,False,
HYG,credit,Volume,VL-PVT-SLOPE-5,continuous,5,-0.05527595156191691,-0.28142339778282616,4825,0.014097726842131309,True,False,
HYG,credit,Volume,VL-PVT-SLOPE-5,continuous,10,-0.03263121964040952,-0.22698091476624177,4820,0.1649601687521126,False,False,
HYG,credit,Volume,VL-PVT-SLOPE-5,continuous,20,-0.06325979366207674,-0.25326564647924893,4810,0.010948704168507475,True,False,
LQD,credit,Momentum,MO-AO-5-34,continuous,1,0.0013282568811460499,-0.707226326717292,5984,0.9228416563434249,False,False,
LQD,credit,Momentum,MO-AO-5-34,continuous,5,0.023245624465020875,-0.3688868520660282,5980,0.364752218296317,False,False,
LQD,credit,Momentum,MO-AO-5-34,continuous,10,0.023423018627560806,-0.2890644581313316,5975,0.5196457571892648,False,False,
LQD,credit,Momentum,MO-AO-5-34,continuous,20,0.015556145400289328,-0.25096175739221194,5965,0.74048015684243,False,False,
LQD,credit,Momentum,MO-CCI-20,continuous,1,-0.0005327849801973818,-0.44349990942802536,5998,0.9672084581411011,False,False,
LQD,credit,Momentum,MO-CCI-20,continuous,5,0.01994741368327608,-0.24905795795708105,5994,0.3829520353256274,False,False,
LQD,credit,Momentum,MO-CCI-20,continuous,10,0.03302009614143506,-0.1939088917355475,5989,0.28256724724346827,False,False,
LQD,credit,Momentum,MO-CCI-20,continuous,20,0.019063022796585845,-0.2038706644697161,5979,0.6184085951674777,False,False,
LQD,credit,Momentum,MO-CMO-14,continuous,1,0.0016641875903186261,-0.5062913311628382,6003,0.8977021458228224,False,False,
LQD,credit,Momentum,MO-CMO-14,continuous,5,0.023304182323048577,-0.29901508859430725,5999,0.3195704471974552,False,False,
LQD,credit,Momentum,MO-CMO-14,continuous,10,0.030116744738792337,-0.22654196608365848,5994,0.3510588844403808,False,False,
LQD,credit,Momentum,MO-CMO-14,continuous,20,0.01491067750148185,-0.221577009898306,5984,0.7067210609678134,False,False,
LQD,credit,Momentum,MO-FISHER-9,continuous,1,0.004209150472858551,-0.4522066013870825,6009,0.7426998484855722,False,False,
LQD,credit,Momentum,MO-FISHER-9,continuous,5,0.03838929861990344,-0.23452198998293436,6005,0.1034251168892588,False,False,
LQD,credit,Momentum,MO-FISHER-9,continuous,10,0.04101342458598475,-0.1955153854380935,6000,0.20029560544566727,False,False,
